,0
0,15.307692307692308
1,16.384615384615383
2,15.692307692307692
3,16.846153846153847
4,17.98076923076923
5,17.865384615384617
6,16.96153846153846
7,15.076923076923077
8,19.01923076923077
9,16.865384615384617
10,18.23076923076923
11,13.826923076923077
12,15.211538461538462
13,17.423076923076923
14,15.942307692307692
15,14.942307692307692
16,14.307692307692308
17,13.826923076923077
18,15.75
19,14.5
20,17.673076923076923
21,17.115384615384617
22,18.942307692307693
23,15.01923076923077
24,13.01923076923077
25,18.23076923076923
26,17.826923076923077
27,14.076923076923077
28,17.442307692307693
29,13.75
30,17.01923076923077
31,17.75
32,16.576923076923077
33,19.423076923076923
34,19.192307692307693
35,18.326923076923077
36,18.5
37,17.26923076923077
38,17.134615384615383
39,12.442307692307692
40,18.76923076923077
41,14.596153846153847
42,16.46153846153846
43,14.173076923076923
44,15.826923076923077
45,13.942307692307692
46,13.5
47,17.442307692307693
48,14.673076923076923
49,18.03846153846154
50,17.192307692307693
51,18.596153846153847
52,16.057692307692307
53,17.942307692307693
54,17.26923076923077
55,17.78846153846154
56,17.73076923076923
57,17.5
58,18.173076923076923
59,15.288461538461538
60,18.173076923076923
61,16.192307692307693
62,16.923076923076923
63,17.365384615384617
64,18.096153846153847
65,16.557692307692307
66,19.03846153846154
67,18.192307692307693
68,18.73076923076923
69,14.711538461538462
70,17.442307692307693
71,17.78846153846154
72,18.557692307692307
73,18.5
74,16.78846153846154
75,14.365384615384615
76,18.923076923076923
77,18.01923076923077
78,14.903846153846153
79,18.365384615384617
80,16.923076923076923
81,15.98076923076923
82,17.134615384615383
83,14.25
84,14.51923076923077
85,19.096153846153847
86,17.134615384615383
87,16.46153846153846
88,15.788461538461538
89,13.538461538461538
90,17.076923076923077
91,16.865384615384617
92,15.096153846153847
93,16.384615384615383
94,17.903846153846153
95,18.307692307692307
96,17.173076923076923
97,17.46153846153846
98,15.596153846153847
99,16.384615384615383
100,17.25
101,16.903846153846153
102,16.96153846153846
103,17.423076923076923
104,18.365384615384617
105,16.576923076923077
106,12.461538461538462
107,18.23076923076923
108,15.557692307692308
109,17.076923076923077
110,18.53846153846154
111,17.153846153846153
112,17.634615384615383
113,11.98076923076923
114,16.807692307692307
115,13.48076923076923
116,17.403846153846153
117,18.48076923076923
118,13.442307692307692
119,16.48076923076923
120,14.846153846153847
121,13.538461538461538
122,19.134615384615383
123,14.423076923076923
124,18.26923076923077
125,13.442307692307692
126,13.288461538461538
127,16.25
128,15.711538461538462
129,12.634615384615385
130,19.057692307692307
131,17.596153846153847
132,17.5
133,16.365384615384617
134,17.596153846153847
135,19.173076923076923
136,17.48076923076923
137,15.057692307692308
138,15.884615384615385
139,16.03846153846154
140,17.576923076923077
141,16.596153846153847
142,16.365384615384617
143,16.78846153846154
144,17.884615384615383
145,13.576923076923077
146,15.75
147,13.557692307692308
148,13.5
149,15.538461538461538
150,14.942307692307692
151,15.942307692307692
152,18.307692307692307
153,14.98076923076923
154,15.096153846153847
155,13.711538461538462
156,17.346153846153847
157,13.26923076923077
158,15.788461538461538
159,14.576923076923077
160,16.596153846153847
161,14.98076923076923
162,17.307692307692307
163,18.692307692307693
164,15.75
165,14.576923076923077
166,15.596153846153847
167,17.076923076923077
168,16.403846153846153
169,12.807692307692308
170,13.211538461538462
171,18.442307692307693
172,16.21153846153846
173,16.865384615384617
174,18.28846153846154
175,13.98076923076923
176,17.173076923076923
177,12.423076923076923
178,15.73076923076923
179,17.28846153846154
180,15.01923076923077
181,17.096153846153847
182,13.673076923076923
183,15.673076923076923
184,17.71153846153846
185,16.846153846153847
186,16.423076923076923
187,17.326923076923077
188,15.653846153846153
189,18.423076923076923
190,16.807692307692307
191,11.826923076923077
192,14.538461538461538
193,17.615384615384617
194,14.423076923076923
195,16.057692307692307
196,17.75
197,12.26923076923077
198,17.73076923076923
199,18.307692307692307
200,18.307692307692307
201,14.826923076923077
202,18.51923076923077
203,16.865384615384617
204,16.346153846153847
205,13.403846153846153
206,15.057692307692308
207,14.807692307692308
208,16.346153846153847
209,16.73076923076923
210,17.423076923076923
211,19.365384615384617
212,17.076923076923077
213,15.826923076923077
214,16.557692307692307
215,18.923076923076923
216,13.826923076923077
217,12.653846153846153
218,17.384615384615383
219,17.576923076923077
