,0
799,16
800,15
801,17
802,15
803,18
804,18
805,15
806,18
807,16
808,17
809,12
810,19
811,18
812,12
813,16
814,16
815,18
816,18
817,17
818,18
819,14
820,15
821,13
822,18
823,12
824,19
825,14
826,18
827,13
828,17
829,19
830,13
831,15
832,16
833,13
834,17
835,18
836,17
837,16
838,17
839,12
840,19
841,16
842,18
843,17
844,15
845,17
846,19
847,14
848,16
849,17
850,18
851,18
852,17
853,14
854,15
855,16
856,16
857,19
858,19
859,15
860,15
861,19
862,18
863,17
864,18
865,16
866,17
867,16
868,14
869,16
870,16
871,13
872,14
873,18
874,18
875,17
876,13
877,17
878,16
879,16
880,13
881,19
882,13
883,17
884,18
885,17
886,17
887,18
888,13
889,17
890,17
891,17
892,14
893,15
894,18
895,18
896,18
897,15
898,18
899,17
900,16
901,17
902,16
903,18
904,18
905,18
906,16
907,18
908,18
909,15
910,19
911,17
912,18
913,18
914,15
915,17
916,17
917,17
918,18
919,17
920,18
921,17
922,17
923,16
924,17
925,14
926,18
927,18
928,17
929,17
930,16
931,16
932,18
933,17
934,19
935,18
936,18
937,17
938,14
939,15
940,16
941,18
942,18
943,17
944,15
945,17
946,18
947,17
948,14
949,16
950,16
951,16
952,17
953,17
954,13
955,17
956,18
957,18
958,14
959,17
960,15
961,17
962,17
963,18
964,17
965,13
966,16
967,13
968,15
969,16
970,18
971,12
972,15
973,16
974,18
975,16
976,17
977,16
978,18
979,17
980,17
981,19
982,17
983,13
984,16
985,16
986,15
987,17
988,16
989,16
990,16
991,16
992,15
993,18
994,13
995,18
996,18
997,13
998,19
999,16
