,n1,n2,p-values
148,83.0,13.0,1.0744840113660236e-15
149,86.0,10.0,1.6640391264027712e-12
150,89.0,7.0,8.467485153548811e-127
151,85.0,11.0,1.8649763434127637e-12
152,85.0,11.0,1.717736178579558e-17
153,80.0,16.0,8.874343918042858e-09
154,83.0,13.0,1.8220460712585628e-11
155,88.0,8.0,1.5500016624676185e-09
156,86.0,10.0,1.909377221836689e-15
157,87.0,9.0,1.8425462000253311e-62
158,82.0,14.0,7.071784992999114e-103
159,81.0,15.0,1.1345681257053803e-09
160,88.0,8.0,1.242415647461441e-18
161,88.0,8.0,5.010529692414866e-09
162,86.0,10.0,5.122714645568109e-15
163,88.0,8.0,3.921439074860408e-13
164,87.0,9.0,6.320507429597441e-143
165,84.0,12.0,2.401810116606474e-97
166,90.0,6.0,1.1866619191811872e-06
167,84.0,12.0,8.418002315280939e-13
168,90.0,6.0,1.537193588547013e-45
169,84.0,12.0,7.997910058405944e-14
170,82.0,14.0,1.3549106521849454e-14
171,89.0,7.0,5.3068257496946244e-12
172,87.0,9.0,1.8221548062460613e-100
173,87.0,9.0,8.973712879261403e-07
174,84.0,12.0,1.7164399607201258e-08
175,87.0,9.0,1.1702437662075408e-09
176,85.0,11.0,2.0231024323045906e-17
177,86.0,10.0,3.2757868330562146e-06
178,86.0,10.0,4.881403521523616e-22
179,82.0,14.0,8.933309504659125e-17
180,87.0,9.0,7.24349221152242e-11
181,80.0,16.0,2.0072113301646962e-66
182,90.0,6.0,1.7878485075304814e-08
183,84.0,12.0,9.339160485354751e-23
184,87.0,9.0,5.498489109446005e-23
185,86.0,10.0,2.6900482412205036e-45
186,84.0,12.0,1.818688694463728e-25
187,83.0,13.0,5.275589400974335e-09
188,85.0,11.0,1.6204216001306452e-08
189,88.0,8.0,2.1378195810121124e-11
190,85.0,11.0,4.198658907921105e-42
191,83.0,13.0,2.0605447020018892e-276
192,89.0,7.0,1.2241410752756239e-12
193,89.0,7.0,4.27816455424316e-09
194,89.0,7.0,3.3207688362129515e-35
195,86.0,10.0,2.1791013235044232e-06
196,86.0,10.0,1.349330974765329e-24
197,88.0,8.0,1.9333038767243756e-27
198,84.0,12.0,3.23613940794172e-12
199,86.0,10.0,1.7563994906301633e-22
200,87.0,9.0,9.716034839448546e-10
201,87.0,9.0,4.499645568278752e-10
202,85.0,11.0,4.1810925842036816e-18
203,84.0,12.0,1.2911545048907018e-17
204,87.0,9.0,5.346577236470556e-26
205,87.0,9.0,1.5622908413258426e-52
206,88.0,8.0,4.167221559869953e-16
207,88.0,8.0,2.479317626433493e-13
208,91.0,5.0,5.006607064346586e-12
209,83.0,13.0,9.346899037876727e-173
210,91.0,5.0,8.809828933240718e-07
211,85.0,11.0,4.639150667614087e-51
212,89.0,7.0,2.9662781925106036e-07
213,88.0,8.0,3.4983925980078675e-10
214,83.0,13.0,5.616380978041382e-12
215,87.0,9.0,6.020432505618837e-08
216,83.0,13.0,7.251670027261156e-14
217,84.0,12.0,4.777561868088133e-23
218,92.0,4.0,4.4436860310662254e-33
219,84.0,12.0,9.045854001214888e-08
220,88.0,8.0,4.401672546078131e-23
221,85.0,11.0,3.3414058516851796e-17
222,84.0,12.0,2.1187729879974648e-16
223,84.0,12.0,3.0171687919366495e-11
224,89.0,7.0,4.352791522318172e-13
225,87.0,9.0,6.833682352444437e-15
226,89.0,7.0,7.467392820473899e-29
227,87.0,9.0,4.792777025357528e-09
228,85.0,11.0,7.055913860019071e-12
229,89.0,7.0,1.327753320715485e-05
230,83.0,13.0,9.525319706569615e-18
231,83.0,13.0,9.715689455326642e-08
232,88.0,8.0,5.206203008009879e-30
233,92.0,4.0,1.3455041257641738e-11
234,86.0,10.0,1.439577542713464e-45
235,91.0,5.0,3.322552888003521e-16
236,85.0,11.0,7.8339506240000065e-78
237,85.0,11.0,3.4275213987413894e-32
238,87.0,9.0,3.3471309384973248e-12
239,85.0,11.0,1.9025046882972786e-05
